family,book01,book02,book03,book04,book05,book06,book07,book08,book09,book10,book11,book12
Anglo-Norman,6.94,7.38,7.33,6.83,7.23,8.12,6.85,7.05,6.65,7.8,6.6,7.22
Arabic,0.1,0.13,0.16,0.24,0.29,0.1,0.3,0.18,0.17,0.17,0.23,0.31
Aragonese,0.05,0.08,0.0,0.08,0.05,0.14,0.12,0.0,0.04,0.04,0.09,0.0
Dutch,0.1,0.08,0.16,0.08,0.0,0.1,0.0,0.12,0.04,0.08,0.05,0.12
"Dutch, Middle (ca. 1050-1350)",0.1,0.08,0.11,0.08,0.24,0.19,0.12,0.0,0.08,0.13,0.09,0.0
"Dutch, Old",0.0,0.0,0.0,0.08,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.0
English,0.1,0.0,0.05,0.0,0.0,0.1,0.12,0.0,0.0,0.08,0.09,0.0
"English, Old (ca. 450-1100)",42.78,40.24,42.81,44.7,39.08,38.3,42.75,41.17,41.9,40.86,44.58,44.42
French,5.16,4.18,4.27,4.1,4.52,5.35,3.79,4.55,4.43,4.18,4.53,3.33
"French, Middle (ca. 1400-1600)",3.65,3.32,3.91,3.52,2.83,3.11,3.82,4.63,3.86,3.21,3.23,3.03
"French, Old (842-ca. 1400)",24.16,24.48,23.03,24.41,26.49,24.71,22.53,24.2,24.35,22.91,22.86,24.39
German,0.05,0.04,0.09,0.09,0.23,0.1,0.06,0.08,0.1,0.07,0.15,0.16
"German, Middle Low",0.0,0.02,0.11,0.05,0.0,0.03,0.0,0.0,0.02,0.08,0.03,0.08
"Greek, Ancient (to 1453)",0.79,0.47,0.68,0.53,0.48,0.53,0.6,0.16,0.5,0.53,0.77,0.28
Hebrew,0.05,0.08,0.0,0.0,0.05,0.0,0.18,0.0,0.12,0.04,0.14,0.06
Icelandic,0.05,0.0,0.0,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.0
Irish,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.04,0.04,0.14,0.0
Italian,0.0,0.04,0.05,0.08,0.05,0.05,0.06,0.06,0.12,0.21,0.05,0.06
Japanese,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Korean,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.0,0.0,0.0,0.0
Latin,12.44,16.01,13.89,11.77,14.99,15.45,15.15,14.31,14.32,16.35,13.32,13.76
Malay (macrolanguage),0.0,0.04,0.05,0.08,0.1,0.14,0.24,0.25,0.08,0.08,0.18,0.0
Maori,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.0,0.0,0.0
"Norse, Old",3.21,3.11,2.94,3.01,2.93,3.27,2.96,3.08,2.82,3.02,2.31,2.48
Persian,0.03,0.03,0.04,0.03,0.03,0.03,0.12,0.04,0.03,0.03,0.12,0.04
Portuguese,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Scots,0.0,0.04,0.11,0.0,0.1,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Spanish,0.0,0.08,0.11,0.0,0.03,0.0,0.0,0.0,0.08,0.0,0.21,0.2
Tamil,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkish,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.18,0.0
Welsh,0.15,0.0,0.11,0.04,0.14,0.1,0.0,0.0,0.04,0.0,0.05,0.0

