family,book01aa,book01ab,book01ac,book01ad,book01ae,book01af,book01ag,book01ah,book01ai,book01aj,book02aa,book02ab,book02ac,book02ad,book02ae,book02af,book02ag,book02ah,book02ai,book02aj,book03aa,book03ab,book03ac,book03ad,book03ae,book03af,book03ag,book03ah,book03ai,book03aj,book04aa,book04ab,book04ac,book04ad,book04ae,book04af,book04ag,book04ah,book04ai,book04aj,book05aa,book05ab,book05ac,book05ad,book05ae,book05af,book05ag,book05ah,book05ai,book05aj,book06aa,book06ab,book06ac,book06ad,book06ae,book06af,book06ag,book06ah,book06ai,book06aj,book07aa,book07ab,book07ac,book07ad,book07ae,book07af,book07ag,book07ah,book07ai,book07aj,book08aa,book08ab,book08ac,book08ad,book08ae,book08af,book08ag,book08ah,book08ai,book08aj,book09aa,book09ab,book09ac,book09ad,book09ae,book09af,book09ag,book09ah,book09ai,book09aj,book10aa,book10ab,book10ac,book10ad,book10ae,book10af,book10ag,book10ah,book10ai,book10aj,book11aa,book11ab,book11ac,book11ad,book11ae,book11af,book11ag,book11ah,book11ai,book11aj,book12aa,book12ab,book12ac,book12ad,book12ae,book12af,book12ag,book12ah,book12ai,book12aj
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anglo-Norman,9.31,5.62,2.35,7.16,5.62,2.71,7.29,4.55,6.05,8.96,5.68,6.89,3.35,6.86,8.45,5.92,4.84,8.0,6.78,6.9,4.7,7.59,8.53,8.55,6.78,5.13,3.05,8.12,9.46,4.91,5.56,8.56,6.53,4.19,6.9,5.02,7.09,7.79,4.62,5.48,2.42,7.3,6.5,7.18,4.86,6.11,7.01,8.33,7.32,6.9,7.95,8.65,3.49,6.63,8.24,4.31,7.92,4.52,8.98,2.29,6.3,5.56,6.27,9.47,4.17,4.0,6.11,8.1,5.98,7.2,8.76,10.36,6.85,5.48,5.53,8.82,7.92,6.64,4.87,5.0,8.75,5.02,4.85,8.7,7.84,5.73,6.91,4.68,6.14,4.53,6.92,7.43,6.78,4.69,5.39,6.22,6.56,8.37,8.55,7.32,9.02,3.58,6.18,5.44,3.01,3.91,8.38,5.86,3.78,3.53,5.63,3.84,6.36,8.64,4.82,6.51,3.06,5.45,4.85,9.3
Arabic,0.34,0.0,0.29,0.0,0.0,0.0,0.35,0.0,0.28,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.34,0.32,0.0,0.65,0.0,0.0,0.0,0.31,0.0,0.29,0.83,0.0,1.13,0.0,0.0,0.23,0.53,0.22,0.0,0.0,0.0,0.0,0.24,0.0,0.54,0.56,0.27,0.58,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,1.0,0.38,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.38,0.0,0.0,0.78,0.44,0.0,0.0,0.42,0.49,0.0,0.25,0.0,0.53,0.49,0.46,0.44,0.25,0.26,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.59,0.6,0.0,0.0,0.5,0.29,0.0,0.0,0.0,0.0,0.45,0.41,1.17,0.0,0.0,0.35,0.0
Aragonese,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.26,0.23,0.0,0.0,0.24,0.26,0.0,0.23,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.28,0.28,0.0,0.0,0.42,0.0,0.0,0.0,0.38,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.31,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chinese, Mandarin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dutch,0.0,0.57,0.0,0.0,0.0,0.64,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dutch, Middle (ca. 1050-1350)",0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.28,0.0,0.0,0.26,0.23,0.0,0.0,0.24,0.26,0.0,0.23,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.29,0.0,0.0,0.0,0.25,0.0,0.46,0.0,0.0,0.26,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.54,0.0,0.27,0.0,0.28,0.28,0.0,0.0,0.42,0.0,0.0,0.0,0.38,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.29,0.0,0.31,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dutch, Old",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"English, Old (ca. 450-1100)",48.39,43.14,55.39,52.57,54.27,58.12,47.57,54.54,53.17,46.15,51.09,42.86,44.39,45.14,44.25,53.71,52.81,55.79,51.52,53.61,52.35,43.88,48.45,49.08,51.38,48.29,59.54,52.81,55.01,55.44,56.67,50.72,54.92,49.62,56.98,57.57,55.39,48.51,54.74,51.75,57.73,57.61,56.3,52.2,47.97,48.61,46.02,44.24,38.34,44.35,50.47,45.32,48.25,52.19,41.17,52.21,52.34,56.64,47.11,48.52,46.36,52.56,47.12,46.8,54.17,60.53,56.21,55.52,53.42,48.74,43.08,52.08,49.4,55.82,60.88,47.92,44.17,54.56,49.41,53.15,46.83,49.58,57.89,47.49,48.22,53.13,56.52,46.72,49.19,59.9,52.63,45.21,55.72,52.35,48.04,52.51,57.35,47.33,49.87,47.81,46.67,57.72,53.84,54.26,57.08,52.88,52.89,50.83,54.31,57.94,51.8,47.48,57.06,53.03,51.24,52.6,54.76,50.45,54.37,62.92
