family,Abdiel,Adam,Adam_and_Eve,Beelzebub,Belial,Chaos,Death,Eve,Gabriel,God,Ithuriel,Mammon,Michael,Moloch,Nisroc,Noah,Raphael,Satan,SatanSerpent,Sin,Uriel,Voice_of_the_Apocalypse,Zephon,Zophiel,good_angels,narr,the_Son
Anglo-Norman,8.56,7.11,6.41,6.53,5.14,8.16,2.22,6.13,4.95,7.58,0.0,2.85,6.56,4.82,2.33,6.49,6.85,7.45,10.2,6.6,6.87,0.0,4.17,0.0,6.18,7.28,7.89
Angloromani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Arabic,0.0,0.31,0.32,0.0,0.0,0.0,0.0,0.27,0.27,0.17,0.0,0.0,0.13,0.0,0.0,0.38,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11
Aragonese,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Dutch,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.07,0.1,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.13,0.11
"Dutch, Middle (ca. 1050-1350)",0.0,0.0,0.64,0.0,0.23,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
"Dutch, Old",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
"English, Old (ca. 450-1100)",45.94,39.77,59.13,45.27,48.13,55.44,57.08,46.42,50.5,43.44,50.0,42.74,43.91,49.08,58.91,55.92,39.23,39.47,52.3,51.33,55.34,50.0,62.5,76.79,46.07,36.2,44.95
French,3.39,4.62,4.06,3.13,3.66,0.68,5.83,2.84,2.06,3.46,0.0,3.42,5.0,3.52,3.49,0.48,4.76,4.48,1.53,2.6,2.29,0.0,8.33,0.0,2.81,4.92,3.41
"French, Middle (ca. 1400-1600)",1.16,3.84,2.24,4.0,1.87,0.68,1.67,3.66,3.85,3.29,0.0,2.14,2.76,1.83,0.0,2.29,2.65,3.62,4.08,3.01,1.78,0.0,4.17,0.0,3.93,4.39,2.86
"French, Old (842-ca. 1400)",19.74,23.99,15.01,19.33,20.33,25.17,13.19,25.69,21.34,23.98,50.0,30.2,24.08,15.52,26.74,21.28,24.85,26.07,19.64,19.68,20.87,50.0,12.5,7.14,20.79,25.93,22.63
German,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.15,0.27,0.14,0.0,0.0,0.07,0.0,1.16,0.19,0.06,0.1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08,0.11
"German, Middle Low",0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
"Greek, Ancient (to 1453)",0.0,0.08,0.64,0.4,0.0,0.0,0.0,0.18,0.37,0.22,0.0,0.0,0.45,0.0,0.0,0.38,0.52,0.59,0.0,0.69,0.76,0.0,0.0,0.0,1.12,1.22,0.22
Hebrew,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.38,0.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11
Icelandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Irish,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Italian,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.11
Japanese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Korean,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin,15.78,16.56,7.05,17.2,15.11,4.08,15.0,11.35,9.48,13.88,0.0,12.82,14.31,19.11,5.43,9.73,16.8,14.09,8.16,11.92,10.18,0.0,4.17,16.07,14.61,16.12,13.22
Malay (macrolanguage),0.0,0.15,0.32,0.0,0.0,0.0,0.0,0.18,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.07,0.22
Maori,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
"Norse, Old",4.55,3.08,4.17,4.0,5.14,5.78,5.0,2.76,6.23,3.29,0.0,4.7,2.14,4.89,1.16,1.72,3.1,3.05,3.57,3.18,1.4,0.0,4.17,0.0,4.49,2.42,3.74
Persian,0.0,0.03,0.0,0.13,0.16,0.0,0.0,0.06,0.0,0.06,0.0,0.28,0.04,0.31,0.78,0.13,0.1,0.03,0.0,0.12,0.25,0.0,0.0,0.0,0.0,0.05,0.07
Portuguese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Scots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Spanish,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.85,0.18,0.92,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
Tamil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Turkish,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
Welsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22

